facility_id,facility_name,full_address,postal_code,latitude,longitude,PLN_AREA_N
98,ST LUKES ELDERCARE CENTRE - RIVERVALE,164 Rivervale Crescent #01-01 Singapore 540164,540164,1.38930506623143,103.907598607934,SENGKANG
99,ST LUKES ELDERCARE LTD - BUKIT BATOK,168 Bukit Batok West Avenue 8 Singapore 650168,650168,1.34717025311255,103.741298523595,BUKIT BATOK
100,SWAMI Dementia Day Care,5 Sembawang Walk SWAMI Home For The Aged Singapore 757717,757717,1.44006607040064,103.824060541138,SEMBAWANG
101,Senior Care Centre @ Sunlove Central,70 Buangkok View Buangkok Green Medical Park Singapore 534190,534190,1.38054167108631,103.885160017675,HOUGANG
102,Sheng Hong Active Ageing Centre (Care) @ Sennett,175 Macpherson Road Singapore 348537,348537,1.33020804167321,103.874549888013,TOA PAYOH
103,Singapore Buddhist Welfare Services,105 Punggol Road Singapore 546636,546636,1.37989315515515,103.896275540621,SENGKANG
104,Sparkle Care @ Braddell Heights,307 Serangoon Avenue 2 Chuan Village Singapore 550307,550307,1.35462817749301,103.867068733428,SERANGOON
105,Sparkle Care @ Bukit Panjang,422 Fajar Road #01-511 Singapore 670422,670422,1.38501326288105,103.769678527968,BUKIT PANJANG
106,Sparkle Care @ Eunos,650 Jalan Tenaga Eunos Damai Ville #01-22 Singapore 410650,410650,1.3318679857149,103.907573911026,BEDOK
107,Sparkle Care @ Kreta Ayer,4 Sago Lane #03-115 Singapore 050004,050004,1.28180062242257,103.842908159495,OUTRAM
108,Sparkle Care @ Serangoon,109 Serangoon North Avenue 1 #01-641 Singapore 550109,550109,1.36943351823831,103.870511407041,SERANGOON
109,Sparkle Care @ Shunfu,313 Shunfu Road Shunfu Gardens #01-287 Singapore 570313,570313,1.35147881263426,103.837185216121,BISHAN
110,Sparkle Care @ Tampines East,209 Tampines Street 21 #01-1325 Singapore 520209,520209,1.35191743647505,103.952832223103,TAMPINES
111,Sparkle Care @ Yew Tee,625 Choa Chu Kang Street 62 #01-206 Singapore 680625,680625,1.39863065232743,103.746034051085,CHOA CHU KANG
112,Sree Narayana Mission Senior Care Centre @ Woodlands,861 Woodlands Street 83 Singapore 730861,730861,1.43966015258891,103.795235776713,WOODLANDS
113,St Andrews Senior Care @ Dover,28 Dover Avenue Singapore 139791,139791,1.3063019470699,103.781545028445,QUEENSTOWN
114,St Andrews Senior Care @ Henderson,303 Henderson Road Singapore 108925,108925,1.27092570676738,103.812125318625,BUKIT MERAH
115,St Andrews Senior Care @ Hillview,4 Hillview Rise Hillv2 #02-22 Singapore 667979,667979,1.36267450828024,103.76417292006,BUKIT BATOK
116,St Andrews Senior Care @ Tampines Central,1 Tampines Walk Our Tampines Hub #04-33 Singapore 528523,528523,1.35354740485205,103.940381104547,TAMPINES
117,St Hilda's Community Services Centre,10 Jalan Batu #01-146 Singapore 431010,431010,1.30204488252463,103.882887148325,KALLANG
118,St John Singapore,420 Beach Road Singapore 199582,199582,1.30169928330703,103.863486455209,DOWNTOWN CORE
119,St Lukes ElderCare Active Ageing Centre (Care) @ Anchorvale,353 Anchorvale Lane #01-01 Singapore 540353,540353,1.39315967650223,103.88565992411,SENGKANG
120,St Lukes ElderCare Active Ageing Centre (Care) @ Bishan,152B Bishan Street 11 Golden Jasmine #01-271 Singapore 572152,572152,1.3453342006773,103.854098182349,BISHAN
121,St Lukes ElderCare Active Ageing Centre (Care) @ Northshore,417 Northshore Drive #01-02/03 Singapore 820417,820417,1.41741430696277,103.900744398319,PUNGGOL
122,St Lukes Eldercare Residence @ Ang Mo Kio,2 Ang Mo Kio Street 23 Singapore 569341,569341,1.36935843904972,103.840276840159,ANG MO KIO
123,St Lukes Eldercare - Active Ageing Centre (Care) @ Teck Whye Vista,153 Jalan Teck Whye #03-151 Singapore 680153,680153,1.37915123926616,103.758554890844,CHOA CHU KANG
124,St Lukes Eldercare Centre @ Ang Mo Kio,2 Ang Mo Kio Street 23 Singapore 569341,569341,1.36935843904972,103.840276840159,ANG MO KIO
125,St Andrews Senior Care @ Bedok North,222C Bedok North Drive #01-66 Singapore 463222,463222,1.3241279645869,103.9280621579,BEDOK
126,St Andrews Senior Care @ Bedok South,152A Bedok South Road #02-01/02 Singapore 461152,461152,1.31767817684758,103.947397456277,BEDOK
127,St Lukes Eldercare - Ayer Rajah Centre,150A Pandan Gardens #01-01 Singapore 609342,609342,1.3212933695135,103.747648912115,JURONG EAST
128,St Lukes Eldercare - Bukit Timah Centre,310 Clementi Avenue 4 Clementi Meadows #01-263 Singapore 120310,120310,1.32027016006349,103.765944899873,CLEMENTI
129,St Lukes Eldercare - Changkat Centre,350 Tampines Street 33 #01-3438 Singapore 520350,520350,1.35380661871004,103.962935246726,TAMPINES
